"Compound","PubChem ID","Affinity"
"Quercetin 3,3'-dimethyl ether 7-rutinoside",44259683,-7.4
"Quercetin 3,3'-dimethyl ether 4'-(2-methylbutyrate)",44259687,-7.4
"Quercetin 3-O-beta-D-fucopyranoside",51402819,-7.4
"Hermannioside A",54672535,-7.4
"Quercetin 7-O-beta-L-rhamnopyranoside",72193658,-7.4
"[6-[2-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",75052156,-7.4
"CID 89380295",89380295,-7.4
"CID 100927067",100927067,-7.4
"CID 101406401",101406401,-7.4
"CID 124221768",124221768,-7.4
"CID 129729872",129729872,-7.4
"CID 129757690",129757690,-7.4
"CID 129835882",129835882,-7.4
"CID 133053374",133053374,-7.4
"CID 134737993",134737993,-7.4
"CID 138911129",138911129,-7.4
"CID 139031036",139031036,-7.4
"CID 139031037",139031037,-7.4
"CID 139031038",139031038,-7.4
"Quercitrin",5280459,-7.3
"Hyperoside",5281643,-7.3
"Tamarixetin",5281699,-7.3
"3-[(2S,3S,4S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",5320668,-7.3
"Quercetin 3-gentiobioside",5320834,-7.3
"3-[(2S,3R,4R,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",5321278,-7.3
"4H-1-Benzopyran-4-one, 3-(arabinofuranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",5488539,-7.3
"Quercetin 3-O-rhamnoside-7-O-glucoside",6325870,-7.3
"Quercetin 7-O-sulfate",10022760,-7.3
"Quercetin 3,7,3',4'-tetra-O-sulfate",10348956,-7.3
"Quercetin 3-O-robinobioside",10371536,-7.3
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-methoxy-6,8-dimethyl-4H-1-benzopyran-4-one",10783637,-7.3
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucopyranoside",10813969,-7.3
"[(2R,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl benzoate",11563181,-7.3
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl D-galactopyranoside",11751616,-7.3
"3-[(2S,3S,4R,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",12047348,-7.3
"Quercetin 3,7-di-O-sulfate",12988287,-7.3
"3-[4,5-Dihydroxy-6-methyl-3-(3,4,5-trihydroxyoxan-2-yl)oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",13784485,-7.3
"2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4-oxochromene-8-sulfonic acid",15434866,-7.3
"2-(3,4-Dihydroxyphenyl)-5-hydroxy-3,7-bis[[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy]chromen-4-one",15953752,-7.3
"[2-Hydroxy-5-(3,5,7-trihydroxy-4-oxochromen-2-yl)phenyl] (2R)-2-aminopropanoate",16102827,-7.3
"Quercetin 3'-O-sulfate",21676162,-7.3
"Quercetin 3,3',7-trissulfate(3-)",21676177,-7.3
"Quercetin 3-apiosyl-(1->2)-xyloside",21676284,-7.3
"Quercetin 3-(2R-apiosylrutinoside)",23955865,-7.3
"[(3S,4R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl acetate",24211981,-7.3
"Vincetoxicoside A",25080064,-7.3
"2-(3,4-Dihydroxyphenyl)-7-hydroxy-3-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-[(4S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",44229098,-7.3
"Parthenosin",44257997,-7.3
"Quercetin 3-(2'',6''-digalloylgalactoside)",44258000,-7.3
"Quercetin 3-(2''-galoylrutinoside)",44258002,-7.3
"Quercetin 3-(6''-malonylneohesperidoside)",44258003,-7.3
"Quercetin 3-rhamnosyl-(1->2)-galactoside-7-glucoside",44259111,-7.3
"Quercetin 3-(2''-galloylgalactoside)",44259121,-7.3
"Quercetin 3-galactosyl-(1->6)-glucoside",44259143,-7.3
"Quercetin 3-glucoside-7-glucuronide",44259152,-7.3
"Quercetin 3-sambubioside-7-rhamnoside",44259166,-7.3
"Quercetin 3-(6''-acetylglucoside)",44259187,-7.3
"Quercetin 3-(6''-galloylglucoside)",44259190,-7.3
"Quercetin 3-(2'''-caffeylsophoroside)",44259197,-7.3
"Quercetin 3-(6''-malonylglucoside)-7-rhamnoside",44259198,-7.3
"Quercetin 3-rhamnosyl-(1->2)-alpha-L-arabinopyranoside",44259232,-7.3
"Quercetin 3-glucosyl-(1->2)-xyloside",44259233,-7.3
"Quercetin 3-(2''-galloyl-alpha-L-arabinopyranoside)",44259256,-7.3
"Quercetin 3-(4''-acetylrhamnoside)",44259258,-7.3
"Quercetin 3-glucosyl-(1->2)-glucuronide",44259280,-7.3
"Quercetin 3-xylosyl-(1->2)-rhamnosyl-(1->6)-glucoside",44259282,-7.3
"Quercetin 3'-isobutyrate",44259327,-7.3
"Quercetin 3,7-dimethyl ether 3'-neohesperidoside",44259646,-7.3
"Quercetin 3,7-dimethyl ether 4'-glucoside",44259669,-7.3
"Quercetin 3-methyl ether 7-alpha-L-arabinofuranosyl-(1->6)-glucoside",44259670,-7.3
"Quercetin 3,4'-dimethyl ether 7-glucoside",44259696,-7.3
"[(2R,3S,4S,5R,6S)-6-[(2S,3R,4S,5S,6R)-2-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",46832204,-7.3
"Quercetin-7-olate",46906036,-7.3
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-[[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",46936193,-7.3
"2-(3,4-Dihydroxyphenyl)-3,5-dihydroxy-6-(3-hydroxy-3-methylbutyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",49768367,-7.3
"Quercetin 3'-caprylate",49785929,-7.3
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",78385327,-7.3
"CID 86289441",86289441,-7.3
"CID 90657624",90657624,-7.3
"CID 91666354",91666354,-7.3
"CID 91808057",91808057,-7.3
"CID 101209754",101209754,-7.3
"CID 101938467",101938467,-7.3
"CID 102459359",102459359,-7.3
"CID 129684480",129684480,-7.3
"CID 129826672",129826672,-7.3
"CID 131752177",131752177,-7.3
"CID 133053441",133053441,-7.3
"CID 134734045",134734045,-7.3
"CID 137231907",137231907,-7.3
"Isoquercitrin",5280804,-7.2
"Quercetin 3-O-malonylglucoside",5282159,-7.2
"Quercetin 3-O-beta-L-fucopyranoside",5320852,-7.2
"2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",5320855,-7.2
"Triphenylsilyl dimethylarsinoate",5487350,-7.2
"Quercetin 3-O-(2'',3''-digalloyl)-beta-D-galactopyranoside",6918832,-7.2
"3-[(2S,3R,4R,5S,6R)-3,4-Dihydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",10211337,-7.2
"[(2R,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate",11520051,-7.2
"Miquelianin",12004528,-7.2
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[(3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxychromen-4-one",12309864,-7.2
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[(2R,3S,4R,5R)-3,4,5-trihydroxyoxan-2-yl]oxychromen-4-one",12309865,-7.2
"3-[5-(1,2-Dihydroxyethyl)-3,4-dihydroxyoxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",13179952,-7.2
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]oxan-2-yl]oxychromen-4-one",13887800,-7.2
"Quercetin 3-(6''-malonyl-glucoside)",14730813,-7.2
"Quercetin 5,4'-dimethyl ether",15227607,-7.2
"3-[(2S,3R,4R,5R,6R)-3,4-Dihydroxy-6-(hydroxymethyl)-5-[(2S,3R,4R,5R,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",16396012,-7.2
"Quercetin-3'-o-phosphate",20833257,-7.2
"Quercetin 3-O-alpha-L-rhamnopyranosyl-(1->2)-alpha-L-arabinopyranoside",21722036,-7.2
"Quercetin 3,3'-bissulfate(3-)",25201878,-7.2
"Quercetin 3-(2G-(E)-p-coumaroylrutinoside)",44258005,-7.2
"Isorhamnetin 3-sambubioside",44258011,-7.2
"Quercetin 3-apiosyl-(1->2)-galactoside",44259092,-7.2
"Quercetin 3-glucosyl-(1->6)-galactoside",44259098,-7.2
"Quercetin 3-galactoside-7-xyloside",44259102,-7.2
"Quercetin 3-(3''-acetylgalactoside)",44259116,-7.2
"Quercetin 3-(2'',3'',4''-triacetylgalactoside)",44259125,-7.2
"Quercetin 3-alpha-arabinopyranosyl-(1->2)-glucoside",44259138,-7.2
"3-[(2S,5R)-3,5-Dihydroxy-6-(hydroxymethyl)-4-[(2S,3R,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",44259145,-7.2
"Quercetin 3-sambubioside-7-glucoside",44259165,-7.2
"Quercetin 3-gentiobioside-7-glucuronide",44259171,-7.2
"Quercetin 3-(6''-ethylglucuronide)",44259221,-7.2
"Quercetin 3-(2''-acetylgalactoside)",44259302,-7.2
"Quercetin 3-(2'''-feruloylsophoroside)",44259303,-7.2
"Quercetin 3-glucuronide-7-sulfate",44259320,-7.2
"Rhamnazin 3-xylosyl-(1->2)-glucoside",44259617,-7.2
"Quercetin 7,3',4'-trimethyl ether 3-alpha-L-arabinopyranoside",44259628,-7.2
"Quercetin 3-methyl ether 4'-glucoside",44259665,-7.2
"Quercetin 3,7-dimethyl ether 5-glucoside",44259668,-7.2
"Quercetin 3,3'-dimethyl ether 4'-isovalerate",44259688,-7.2
"2-(3,4-Dihydroxyphenyl)-3-[4,5-dihydroxy-3-(3,4,5-trihydroxyoxan-2-yl)oxyoxan-2-yl]oxy-5,7-dihydroxychromen-4-one",45360047,-7.2
"Quercetin 3-O-[alpha-L-rhamnopyranosyl(1->2)-beta-D-galactopyranosyl]-7-O-alpha-L-rhamnopyranoside",57397680,-7.2
"3-[[(2R,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoic acid",71430793,-7.2
"[6-[2-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-4,5-dihydroxy-6-methyloxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl 3-(4-hydroxyphenyl)prop-2-enoate",74978212,-7.2
"2-(3,4-Dihydroxyphenyl)-5-hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",75412557,-7.2
"CID 101057533",101057533,-7.2
"CID 102085574",102085574,-7.2
"CID 102590518",102590518,-7.2
"CID 130476752",130476752,-7.2
"CID 132583957",132583957,-7.2
"CID 135398029",135398029,-7.2
"CID 138377409",138377409,-7.2
"Quercetin",5280343,-7.1
"Azaleatin",5281604,-7.1
"Rhamnazin",5320945,-7.1
"Quercetin 3-beta-D-galactopyranoside",5378597,-7.1
"Dillenetin",5487855,-7.1
"7-O-(beta-Hydroxyethyl)quercetin",6452329,-7.1
"Quercetin-3-O-galactoside-7-O-glucoside",6453392,-7.1
"3-O-Methylquercetin tetraacetate",10005544,-7.1
"Quercetin 3,7-diglucoside",10121947,-7.1
"Quercetin 3-O-beta-D-glucopyranosyl-(1->2)-rhamnopyranoside",10167806,-7.1
"Quercetin 7,4'-diglucoside",11968881,-7.1
"2-(3-Hydroxy-4-oxo-2,5-cyclohexadienylidene)-5,7-dihydroxy-2H-1-benzopyran-3,4-dione",12051589,-7.1
"Quercetin 3-galactoside 7-rhamnoside",14130922,-7.1
"Quercetin 5,3'-dimethyl ether",14162696,-7.1
"Quercetin 3,5,3'-trimethyl ether",14162697,-7.1
"3-[(2S,3R,4S,5R,6R)-4,5-Dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",14185728,-7.1
"CID 20159736",20159736,-7.1
"Quercetin 3-rhamnosyl-(1->2)[glucosyl-(1->6)-galactoside]",44259109,-7.1
"Quercetin 3-beta-D-glucoside",44259136,-7.1
"3-[(2S,5S)-4,5-Dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,5R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",44259147,-7.1
"Quercetin 3-(2G-rhamnosylgentiobioside)",44259163,-7.1
"Quercetin 3-rutinoside-7-glucuronide",44259177,-7.1
"Quercetin 3-rutinoside-4'-glucoside",44259179,-7.1
"Quercetin 3-glucoside-7-sophoroside",44259180,-7.1
"Quercetin 3-glucoside-7-glucosyl-(1->4)-rhamnoside",44259183,-7.1
"Quercetin 3-(6'''-p-coumaryl-gentiobioside)-7-rhamnoside",44259210,-7.1
"Quercetin 3-(6''-methylglucuronide)",44259220,-7.1
"Quercetin 3-glucosyl-(1->4)-mannoside",44259234,-7.1
"Quercetin 3-glucosyl-(1->4)-rhamnoside",44259238,-7.1
"Quercetin 3-glucosyl-(1->4)-xylosyl-(1->4)-rhamnoside",44259250,-7.1
"Quercetin 3-(3''-acetyl-alpha-L-arabinofuranoside)",44259255,-7.1
"Quercetin 3-(2''-caffeylglucuronide)",44259261,-7.1
"Quercetin 3-(6'''-acetylglucosyl)(1->4)-rhamnoside",44259265,-7.1
"Quercetin 7-(2G-xylosylrutinoside)",44259286,-7.1
"Quercetin 3-rhamnosyl-(1->4)-rhamnoside-7-galactoside",44259289,-7.1
"Quercetin 3-(6''-malonylglucoside)-7-glucoside",44259308,-7.1
"Quercetin 5,3',4'-trimethyl ether 3-galactosyl-(1->2)-rhamnoside-7-rhamnoside",44259533,-7.1
"Rhamnetin 3-robinobioside",44259580,-7.1
"Quercetin 7-methyl ether 3,3'-disulfate",44259605,-7.1
"Quercetin 7,3',4'-trimethyl ether 3-rhamnoside",44259629,-7.1
"Quercetin 3-O-glucoside 7-O-rhamnoside",49842399,-7.1
"Cudranian 2",70697747,-7.1
"Quercetin 3-[rhamnosyl-(1->2)-rhamnosyl-(1->6)-glucoside]",74978163,-7.1
"CID 101138141",101138141,-7.1
"CID 101683504",101683504,-7.1
"CID 129849106",129849106,-7.1
"CID 131637041",131637041,-7.1
"CID 131752257",131752257,-7.1
"CID 132519418",132519418,-7.1
"CID 134776242",134776242,-7.1
"CID 139031045",139031045,-7.1
"Quercetin pentaacetate",14005,-7
"3-Hydroxy-3',4',5,7-tetramethoxyflavone",97142,-7
"Quercetin 3-(2G-xylosylrutinoside)",5281690,-7
"Quercetin 3,3'-dimethyl ether",5316900,-7
"3-[[(2R,3S,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4-dihydroxy-5-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]methoxy]-3-oxopropanoic acid",5320856,-7
"Quercetin 3-sambubioside",5487635,-7
"Quercetin 3-neohesperidoside",5491657,-7
"Quercetin 3-O-neohesperidoside",5748416,-7
"3,5-Dihydroxy-7,3',4'-trimethoxyflavone",5748558,-7
"3-[(2S,3R,4S,5S,6R)-4,5-Dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",10327769,-7
"Calabricoside A",10876384,-7
"3-[(2S,3R,4S,5S,6R)-4,5-Dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",12960456,-7
"Quercetin-3-O-sophoroside",14185727,-7
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[(1R,2R,3S,4R,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexyl]oxychromen-4-one",15959354,-7
"Quercetin 3-caprylate",23651293,-7
"[(2R,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl acetate",25230434,-7
"Quercetin 3-(6''-acetylgalactoside)-7-rhamnoside",44259130,-7
"Quercetin 3-apiosyl-(1->2)-glucoside",44259137,-7
"Quercetin 3-(2G-glucosylgentiobioside)",44259161,-7
"Quercetin 3-glucoside-7-neohesperidoside",44259181,-7
"Quercetin 3-p-coumarylsophoroside-7-glucoside",44259206,-7
"Quercetin 3-(3'''-benzoylsophoroside)-7-rhamnoside",44259209,-7
"Quercetin 7-[xylosyl-(1->2)-rhamnosyl-(1->2)-rhamnosyl]-(1->6)-glucoside",44259298,-7
"Isorhamnetin 3-xylosyl-(1->3)-rhamnosyl-(1->6)-glucoside",44259394,-7
"Quercetin 7-methyl ether 3,3',4'-trisulfate",44259606,-7
"Rhamnazin 3-glucosyl-(1->5)-alpha-L-arabinofuranoside",44259616,-7
"Madreselvin A",44259671,-7
"Quercetin 4',7-diglucoside",73157268,-7
"Quercetin 3-O-(6""""-malonyl-glucoside) 7-O-glucoside",74978238,-7
"CID 101274103",101274103,-7
"CID 101362013",101362013,-7
"CID 101885816",101885816,-7
"CID 133562438",133562438,-7
"CID 138911130",138911130,-7
"CID 138911133",138911133,-7
"CID 139031041",139031041,-7
"3',4',7-Tri(hydroxyethyl)quercetin",155628,-6.9
"Isorhamnetin",5281654,-6.9
"Pachypodol",5281677,-6.9
"Quercetin 3,4'-dimethyl ether",5380905,-6.9
"Isoquercitroside",5484006,-6.9
"Avicularin",5490064,-6.9
"Heliosin",5491920,-6.9
"Quercetin-3-O-rhamnoside",15939939,-6.9
"2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",25245356,-6.9
"Quercetin 3-rhamnosyl-(1->2)-galactoside",44259099,-6.9
"Quercetin 3-glucosyl-(1->3)-rhamnosyl-(1->6)-galactoside",44259105,-6.9
"Quercetin 3-robinobioside-7-rhamnoside",44259113,-6.9
"Quercetin 3-(6''-acetylgalactoside)",44259117,-6.9
"Quercetin 3-(2''',3''',4'''-triacetyl-alpha-L-arabinopyranosyl)(1->6)-galactoside",44259126,-6.9
"Quercetin 3-sophoroside-7-glucoside",44259167,-6.9
"2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-[(2S,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,5S)-3,4,5-trihydroxy-6-[[(2R,4S,5R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",44259175,-6.9
"Quercetin 3-(3''-sulfatoglucoside)",44259213,-6.9
"Quercetin 3-xylosyl-(1->3)-rhanosyl-(1->6)-[apiosyl-(1->2)-galactoside]",44259295,-6.9
"Isorhamnetin 3-glucosyl-(1->6)-galactoside-7-glucoside",44259345,-6.9
"Isorhamnetin 3-(2G-galactosylrutinoside)",44259364,-6.9
"Isorhamnetin 3-apiosyl-(1->2)-glucoside",44259392,-6.9
"Tamarixetin 3-glucoside-7-sulfate",44259416,-6.9
"Ombuin 3-arabinofuranoside",44259625,-6.9
"Quercetin 3-methyl ether 7-galactosyl-(1->4)-glucoside",44259672,-6.9
"Quercetin 8-C-(2''-rhamnosylglucoside)",74977579,-6.9
"CID 129897083",129897083,-6.9
"CID 135398047",135398047,-6.9
"CID 138756175",138756175,-6.9
"Quercetin pentamethyl ether",97332,-6.8
"2-(3-Hydroxy-4-methoxyphenyl)-3,5,7-trimethoxy-4H-chromen-4-one",632128,-6.8
"3,7-Di-O-methylquercetin",5280417,-6.8
"3-O-Methylquercetin",5280681,-6.8
"Quosp",5282166,-6.8
"Retusin",5352005,-6.8
"5,7-Dihydroxy-3,3',4'-trimethoxyflavone",5383438,-6.8
"Quercetin 3-rutinoside-7-glucoside",10190763,-6.8
"Quercetin 3,5,3',4'-tetramethyl ether",14259793,-6.8
"[(2S,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-4,5-dihydroxy-2-methyloxan-3-yl] acetate",14728861,-6.8
"Quercetin 3-(2'''-galloylglucosyl)-(1->2)-alpha-L-arabinofuranoside",44258001,-6.8
"Quercetin 3-(6''-caffeoylsophoroside)",44258008,-6.8
"Quercetin 3,5-digalactoside",44259101,-6.8
"Quercetin 3-robinobioside-7-glucoside",44259112,-6.8
"Quercetin 3-(6'''-sinapylglucosyl)(1->2)-galactoside",44259127,-6.8
"Quercetin 3-(2G-glucosylrutinoside)",44259162,-6.8
"Quercetin 3-gentiobioside-7-glucoside",44259170,-6.8
"Quercetin 3-sambubioside-3'-glucoside",44259178,-6.8
"Quercetin 3-(6'''-p-coumarylglucosyl)(1->2)-rhamnoside-7-glucoside",44259267,-6.8
"Quercetin 3-rhamnosyl-(1->6)-[glucosyl-(1->2)-glucoside]-7-rhamnoside",44259297,-6.8
"Quercetin 3-(4''-malonylrhamnoside)",44259299,-6.8
"Quercetin 3-rhamnoside-3'-sulfate",44259323,-6.8
"Isorhamnetin 3-xylosyl-(1->2)-galactoside",44259391,-6.8
"Quercetin 7,3',4'-trimethyl ether 3-sulfate",44259630,-6.8
"CID 90657553",90657553,-6.8
"CID 101261923",101261923,-6.8
"CID 101712275",101712275,-6.8
"CID 123131991",123131991,-6.8
"CID 129713987",129713987,-6.8
"CID 131753092",131753092,-6.8
"Chromen-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trimethoxy-",147651,-6.7
"8-Prenylquercetin",9799499,-6.7
"Quercetin 3-(2''-p-coumarylglucoside)",44259191,-6.7
"Quercetin 3-galacturonide",44259218,-6.7
"Quercetin 3-O-[6''-O-rhamnosyl)glucoside] 7-O-rhamnoside",44259269,-6.7
"Quercetin 3-(2''-caffeoylglucoside)-(1->2)-(6''-malonylglucoside)",44259306,-6.7
"Quercetin 3-glucuronide-3'-sulfate",44259321,-6.7
"Quercetin 3-glucoside-3'-sulfate",44259324,-6.7
"Isorhamnetin 3-rhamnosyl-(1->2)-[glucosyl-(1->6)-glucoside]",44259395,-6.7
"Isorhamnetin 3-(6''-(E)-sinapoylsophoroside)",44259400,-6.7
"Isorhamnetin 3-[2''-(4'''-acetylrhamnosyl)-gentiobioside]",44259403,-6.7
"Tamarixetin 3-glucosyl-(1->2)-galactoside",44259409,-6.7
"Quercetin 3-(4''-acetylrhamnoside) 7-rhamnoside",74978214,-6.7
"CID 101599893",101599893,-6.7
"Einecs 250-156-0",5484218,-6.6
"3,5,7,3'-Tetramethoxy-4'-hydroxyflavone",13942543,-6.6
"Isotrifoliin",25203368,-6.6
"Quercetin 3,7,4'-triglucoside",44259184,-6.6
"Quercetin 3-(3''-p-coumarylglucoside)",44259192,-6.6
"Quercetin 3-(2'''-caffeylsambubioside)-7-glucoside",44259204,-6.6
"Quercetin 3-glucosyl-(1->2)-rhamnoside-7-glucoside",44259290,-6.6
"Helieianeoside C",44259294,-6.6
"Quercetin 3-sophoroside-7-(6''-(E)-caffeoylglucoside)",44259314,-6.6
"Quercetin 3-(6''-(E)-sinapoylsophoroside)-7-rhamnoside",44259316,-6.6
"Quercetin 7-methyl ether 3-alpha-L-arabinopyranosyl-(1->3)-galactoside",44259597,-6.6
"Quercetin 5,7,3',4'-tetramethyl ether 3-galactoside",44259701,-6.6
"Dillenetin 3,7-diglucoside",52929807,-6.6
"Quercetin 3-laminaribioside",74978161,-6.6
"CID 101920704",101920704,-6.6
"Quercetin 3-sophoroside-7-glucuronide",44259169,-6.5
"Quercetin 3-neohesperidoside-7-glucoside",44259172,-6.5
"Quercetin 3-(6''''-p-coumarylsophorotrioside)",44259199,-6.5
"Quercetin 3-(2'''-p-coumarylsambubioside)-7-glucoside",44259203,-6.5
"[(3S,4S,6S)-6-[(3S,5S,6S)-2-[2-(3,4-Dihydroxyphenyl)-5-hydroxy-4-oxo-3-[(2S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-7-yl]oxy-3,5-dihydroxy-6-methyloxan-4-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",44259212,-6.5
