"Compound","DrugBank ID","Affinity"
"4-[4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)-3-METHYL-1H-PYRAZOL-5-YL]-6-ETHYLBENZENE-1,3-DIOL","DB07594",-7.4
"3-AMINO-3-BENZYL-[4.3.0]BICYCLO-1,6-DIAZANONAN-2-ONE","DB07655",-7.4
"4-{[5-(CYCLOHEXYLOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE","DB07688",-7.4
"(2R)-1-[4-({4-[(2,5-DICHLOROPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL","DB07750",-7.4
"FLUORESCIN","DB07764",-7.4
"S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE","DB07769",-7.4
"2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE","DB07831",-7.4
"N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE","DB07991",-7.4
"N-METHYL-4-{[(2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE","DB08122",-7.4
"N-(4-sulfamoylphenyl)-1H-indazole-3-carboxamide","DB08133",-7.4
"(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide","DB08169",-7.4
"(1R)-N,6-DIHYDROXY-7-METHOXY-2-[(4-METHOXYPHENYL)SULFONYL]-1,2,3,4-TETRAHYDROISOQUINOLINE-1-CARBOXAMIDE","DB08170",-7.4
"2-hydroxy-7-methoxy-5-methyl-naphthalene-1-carboxylic acid meso-2,5-dihydroxy-cyclopent-3-enyl ester","DB08261",-7.4
"4-{[4-{[(1R,2R)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-N-methylbenzenesulfonamide","DB08341",-7.4
"(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE","DB08346",-7.4
"S-{2-[(2-chloro-4-sulfamoylphenyl)amino]-2-oxoethyl} 6-methyl-3,4-dihydroquinoline-1(2H)-carbothioate","DB08494",-7.4
"(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate","DB08498",-7.4
"(S)-(+)-2-[4-(FLUOROBENZYLOXY-BENZYLAMINO)PROPIONAMIDE]","DB08516",-7.4
"1-[2-HYDROXY-3-(4-CYCLOHEXYL-PHENOXY)-PROPYL]-4-(2-PYRIDYL)-PIPERAZINE","DB08543",-7.4
"3-FLUORO-N-[1-(4-FLUOROPHENYL)-3-(2-THIENYL)-1H-PYRAZOL-5-YL]BENZENESULFONAMIDE","DB08560",-7.4
"4-(4-STYRYL-PHENYLCARBAMOYL)-BUTYRIC ACID","DB08562",-7.4
"Azidocillin","DB08795",-7.4
"Vismodegib","DB08828",-7.4
"Vemurafenib","DB08881",-7.4
"Flubendazole","DB08974",-7.4
"Bisoxatin","DB09219",-7.4
"Benidipine","DB09231",-7.4
"Niguldipine","DB09239",-7.4
"NADH","DB00157",-7.3
"Ramipril","DB00178",-7.3
"Pantoprazole","DB00213",-7.3
"Chlorthalidone","DB00310",-7.3
"Diltiazem","DB00343",-7.3
"Droperidol","DB00450",-7.3
"Cefotaxime","DB00493",-7.3
"Bentiromide","DB00522",-7.3
"Cefdinir","DB00535",-7.3
"Bosentan","DB00559",-7.3
"Cephaloglycin","DB00689",-7.3
"Gentamicin","DB00798",-7.3
"Cefaclor","DB00833",-7.3
"Tolazamide","DB00839",-7.3
"Omapatrilat","DB00886",-7.3
"Buprenorphine","DB00921",-7.3
"Alosetron","DB00969",-7.3
"Lomefloxacin","DB00978",-7.3
"Balsalazide","DB01014",-7.3
"Norfloxacin","DB01059",-7.3
"Glipizide","DB01067",-7.3
"Atazanavir","DB01072",-7.3
"Prednicarbate","DB01130",-7.3
"Levofloxacin","DB01137",-7.3
"Trimetrexate","DB01157",-7.3
"Zopiclone","DB01198",-7.3
"Quetiapine","DB01224",-7.3
"Sunitinib","DB01268",-7.3
"Antrafenine","DB01419",-7.3
"Ohmefentanyl","DB01570",-7.3
"Bis(Adenosine)-5'-Triphosphate","DB01690",-7.3
"Rutin","DB01698",-7.3
"Udp-Alpha-D-Xylopyranose","DB01713",-7.3
"(2z)-2-(Benzoylamino)-3-[4-(2-Bromophenoxy)Phenyl]-2-Propenoic Acid","DB01720",-7.3
"S-Adenosyl-L-Homocysteine","DB01752",-7.3
"Tatp","DB01763",-7.3
"Sp-Adenosine-3',5'-Cyclic-Monophosphorothioate","DB01790",-7.3
"Adenosine-3'-5'-Diphosphate","DB01812",-7.3
"[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate","DB01858",-7.3
"RU85493","DB01908",-7.3
"Furo[2,3d]Pyrimidine Antifolate","DB02026",-7.3
"Dpb-T","DB02217",-7.3
"4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide","DB02243",-7.3
"Nicotinamide-Adenine-Dinucleotide-5-Hydroxy-4-Oxonorvaline","DB02349",-7.3
"2'-Monophosphoadenosine-5'-Diphosphate","DB02363",-7.3
"Myricetin","DB02375",-7.3
"Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine","DB02388",-7.3
"2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline","DB02427",-7.3
"Cytidine-5'-Monophosphate-5-N-Acetylneuraminic Acid","DB02485",-7.3
"Phosphoramidon","DB02557",-7.3
"Compound 19","DB02615",-7.3
"1-[3,3-Dimethyl-2-(2-Methylamino-Propionylamino)-Butyryl]-Pyrrolidine-2-Carboxylic Acid(1,2,3,4-Tetrahydro-Naphthalen-1-Yl)-Amide","DB02628",-7.3
"RB106","DB02669",-7.3
"6-Aminohexyl-Uridine-C1,5'-Diphosphate","DB02696",-7.3
"Nicotinamide Adenine Dinucleotide Acetone Adduct","DB02732",-7.3
"7-Alpha-D-Ribofuranosyl-2-Aminopurine-5'-Phosphate","DB02770",-7.3
"Phenyl-Uridine-5'-Diphosphate","DB02790",-7.3
"2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine","DB02919",-7.3
"4-(Aminosulfonyl)-N-[(2,5-Difluorophenyl)Methyl]-Benzamide","DB03039",-7.3
"2-Deazo-6-Thiophosphate Guanosine-5'-Monophosphate","DB03146",-7.3
"PF-00356231","DB03367",-7.3
"2-Phenethyl-2,3-Dihydro-Phthalazine-1,4-Dione","DB03421",-7.3
"Naringenin","DB03467",-7.3
"2'-deoxyuridine 5'-alpha,beta-imido-diphosphate","DB03641",-7.3
"Phosphomethylphosphonic Acid-Guanylate Ester","DB03725",-7.3
"Rbt205 Inhibitor","DB03777",-7.3
"Epigallocatechin","DB03823",-7.3
"4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine","DB03916",-7.3
"2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine","DB03987",-7.3
"Guanosine-5',3'-Tetraphosphate","DB04022",-7.3
"Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Butyl-Amide","DB04032",-7.3
"2-[4-(Hydroxy-Methoxy-Methyl)-Benzyl]-7-(4-Hydroxymethyl-Benzyl)-1,1-Dioxo-3,6-Bis-Phenoxymethyl-1lambda6-[1,2,7]Thiadiazepane-4,5-Diol","DB04042",-7.3
"7-(2-Amino-2-Phenyl-Acetylamino)-3-Chloro-8-Oxo-1-Aza-Bicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid","DB04293",-7.3
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide","DB04297",-7.3
"5-[(4-Methylphenyl)Sulfanyl]-2,4-Quinazolinediamine","DB04306",-7.3
"CRA_10656","DB04470",-7.3
"Cmp-2-Keto-3-Deoxy-Octulosonic Acid","DB04482",-7.3
"2-[2-ETHANESULFONYLAMINO-3-(5-PROPOXY-1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIMIDOYL-BENZYLAMIDE)","DB04606",-7.3
"4-{4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2,3-DIMETHYL-PHENOXY}-BUTYRIC ACID","DB04644",-7.3
"H TYPE II TRISACCHARIDE","DB04678",-7.3
"GUANOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE","DB04754",-7.3
"GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE","DB04757",-7.3
"Lefradafiban","DB04863",-7.3
"Halofuginone","DB04866",-7.3
"Olcegepant","DB04869",-7.3
"Piboserod","DB04873",-7.3
"Tamibarotene","DB04942",-7.3
"Cobimetinib","DB05239",-7.3
"GW 501516","DB05416",-7.3
"CI-1033","DB05424",-7.3
"ITI-007","DB06077",-7.3
"Regadenoson","DB06213",-7.3
"Lornoxicam","DB06725",-7.3
"3-[3-chloro-5-(5-{[(1S)-1-phenylethyl]amino}isoxazolo[5,4-c]pyridin-3-yl)phenyl]propan-1-ol","DB06897",-7.3
"2-(3-METHYLPHENYL)-1H-INDOLE-5-CARBOXIMIDAMIDE","DB06923",-7.3
"5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE","DB06958",-7.3
"2-HYDROXY-5-{[(1E)-2-PHENYLETHYLIDENE]AMINO}-L-TYROSINE","DB06988",-7.3
"2-(3,4-DIHYDROXYPHENYL)-8-(1,1-DIOXIDOISOTHIAZOLIDIN-2-YL)-3-HYDROXY-6-METHYL-4H-CHROMEN-4-ONE","DB07024",-7.3
"(2S,3S)-3-{3-[4-(METHYLSULFONYL)PHENYL]-1,2,4-OXADIAZOL-5-YL}-1-OXO-1-PYRROLIDIN-1-YLBUTAN-2-AMINE","DB07067",-7.3
"2-{[N-(2-ACETYL-5-CHLORO-4-FLUOROPHENYL)GLYCYL]AMINO}BENZOIC ACID","DB07085",-7.3
"4-amino-N-[4-(benzyloxy)phenyl]butanamide","DB07104",-7.3
"(2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE","DB07135",-7.3
"(3R)-4-[(3R)-3-AMINO-4-(2,4,5-TRIFLUOROPHENYL)BUTANOYL]-3-METHYL-1,4-DIAZEPAN-2-ONE","DB07154",-7.3
"(3S)-1-CYCLOHEXYL-5-OXO-N-PHENYLPYRROLIDINE-3-CARBOXAMIDE","DB07155",-7.3
"(2S)-2-(3-{[AMINO(IMINO)METHYL]AMINO}PHENYL)-3-[(S)-HYDROXY(3-PHENYLPROPYL)PHOSPHORYL]PROPANOIC ACID","DB07182",-7.3
"(3S)-1-CYCLOHEXYL-N-(3,5-DICHLOROPHENYL)-5-OXOPYRROLIDINE-3-CARBOXAMIDE","DB07188",-7.3
"2,5-DICHLORO-N-(5-CHLORO-1,3-BENZOXAZOL-2-YL)BENZENESULFONAMIDE","DB07312",-7.3
"2-[({2-[(1Z)-3-(DIMETHYLAMINO)PROP-1-ENYL]-4-FLUOROPHENYL}SULFONYL)AMINO]-5,6,7,8-TETRAHYDRONAPHTHALENE-1-CARBOXYLIC ACID","DB07323",-7.3
"N-(CYCLOPROPYLMETHYL)-4-(METHYLOXY)-3-({5-[3-(3-PYRIDINYL)PHENYL]-1,3-OXAZOL-2-YL}AMINO)BENZENESULFONAMIDE","DB07333",-7.3
"(1S)-1,2,3,4-TETRAHYDRO-BENZO[C]PHENANTHRENE-2,3,4-TRIOL","DB07479",-7.3
"5-(4-CYANOPHENYL)-3-{[(2-METHYLPHENYL)SULFONYL]AMINO}THIOPHENE-2-CARBOXYLIC ACID","DB07547",-7.3
"N-((1R,2R)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE","DB07630",-7.3
"5-AMINO-3-{[4-(AMINOSULFONYL)PHENYL]AMINO}-N-(2,6-DIFLUOROPHENYL)-1H-1,2,4-TRIAZOLE-1-CARBOTHIOAMIDE","DB07664",-7.3
"3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one","DB07676",-7.3
"4-({5-[(4-AMINOCYCLOHEXYL)AMINO][1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL}AMINO)BENZENESULFONAMIDE","DB07687",-7.3
"3-{5-methoxy-1-[(4-methoxyphenyl)sulfonyl]-1H-indol-3-yl}propanoic acid","DB07724",-7.3
"(2R)-1-[4-({6-[(2,6-DIFLUOROPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL","DB07761",-7.3
"(5S)-3-ANILINO-5-(2,4-DIFLUOROPHENYL)-5-METHYL-1,3-OXAZOLIDINE-2,4-DIONE","DB07763",-7.3
"1-{(1R,2S)-2-HYDROXY-1-[2-(2-NAPHTHYLOXY)ETHYL]PROPYL}-1H-IMIDAZONE-4-CARBOXAMIDE","DB07785",-7.3
"1-((1R,2S)-1-{2-[2-(4-CHLOROPHENYL)-1,3-BENZOXAZOL-7-YL]ETHYL}-2-HYDROXYPROPYL)-1H-IMIDAZOLE-4-CARBOXAMIDE","DB07786",-7.3
"5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE","DB07794",-7.3
"4-(BENZHYDRYLOXY)-1-[3-(1H-TETRAAZOL-5-YL)PROPYL]PIPERIDINE","DB07917",-7.3
"(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE","DB07964",-7.3
"N-(2-CHLORO-4-FLUOROBENZOYL)-N'-(5-HYDROXY-2-METHOXYPHENYL)UREA","DB07968",-7.3
"N-(1-ISOPROPYLPIPERIDIN-4-YL)-1-(3-METHOXYBENZYL)-1H-INDOLE-2-CARBOXAMIDE","DB07973",-7.3
"1-{2-[(4-CHLOROPHENYL)AMINO]-2-OXOETHYL}-N-(1-ISOPROPYLPIPERIDIN-4-YL)-1H-INDOLE-2-CARBOXAMIDE","DB07974",-7.3
"2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1S)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE","DB07984",-7.3
"5-methyl-N-[4-(trifluoromethyl)phenyl][1,2,4]triazolo[1,5-a]pyrimidin-7-amine","DB08008",-7.3
"5-[(E)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-[2-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE","DB08009",-7.3
"N~4~-methyl-N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine","DB08042",-7.3
"1-cyclopentyl-3-(1H-pyrrolo[2,3-b]pyridin-5-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine","DB08052",-7.3
"4-[1-(2,6-dichlorobenzyl)-2-methyl-1H-imidazol-4-yl]pyrimidin-2-amine","DB08076",-7.3
"N-[(6-BUTOXYNAPHTHALEN-2-YL)SULFONYL]-D-GLUTAMIC ACID","DB08106",-7.3
"N-({6-[(4-CYANO-2-FLUOROBENZYL)OXY]NAPHTHALEN-2-YL}SULFONYL)-D-GLUTAMIC ACID","DB08112",-7.3
"N-(5-{3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]phenyl}-1,3,4-oxadiazol-2-yl)ethane-1,2-diamine","DB08130",-7.3
"(4R)-7-chloro-9-methyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile","DB08166",-7.3
"(2Z)-N-(3-chloro-2'-methoxybiphenyl-4-yl)-2-cyano-3-hydroxybut-2-enamide","DB08172",-7.3
"4-[8-(3-nitrophenyl)-1,7-naphthyridin-6-yl]benzoic acid","DB08299",-7.3
"3-({2-[(4-{[6-(CYCLOHEXYLMETHOXY)-9H-PURIN-2-YL]AMINO}PHENYL)SULFONYL]ETHYL}AMINO)PROPAN-1-OL","DB08309",-7.3
"N-(3-(8-CYANO-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZIN-2-YLAMINO)PHENYL)ACETAMIDE","DB08362",-7.3
"(6S)-6-CYCLOPENTYL-6-[2-(3-FLUORO-4-ISOPROPOXYPHENYL)ETHYL]-4-HYDROXY-5,6-DIHYDRO-2H-PYRAN-2-ONE","DB08390",-7.3
"2-[(5,6-DIPHENYLFURO[2,3-D]PYRIMIDIN-4-YL)AMINO]ETHANOL","DB08393",-7.3
"3-[6-bromo-2-fluoro-3-(1H-pyrazolo[3,4-c]pyridazin-3-ylmethyl)phenoxy]-5-chlorobenzonitrile","DB08446",-7.3
"N-(5-METHYL-1H-PYRAZOL-3-YL)-2-PHENYLQUINAZOLIN-4-AMINE","DB08454",-7.3
"2-{4-[(3,5-DIMETHYLANILINO)-CARBONYL-METHYL]-PHENOXY}-2-METHYLPROPIONIC ACID","DB08486",-7.3
"5-(3,5-DICHLOROPHENYL)THIO-4-ISOPROPYL-1-(PYRIDIN-4-YL-METHYL)-1H-IMIDAZOL-2-YL-METHYL CARBAMATE","DB08502",-7.3
"4-[5-(4-FLUORO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-3H-IMIDAZOL-4-YL]-PYRIDINE","DB08521",-7.3
"4-{[4-AMINO-6-(CYCLOHEXYLMETHOXY)-5-NITROSOPYRIMIDIN-2-YL]AMINO}BENZAMIDE","DB08572",-7.3
"N-(4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}phenyl)-4-morpholin-4-yl-4-oxobutanamide","DB08582",-7.3
"5'-deoxy-5'-piperidin-1-ylthymidine","DB08596",-7.3
"(3S,6S)-3,6-bis(4-hydroxybenzyl)piperazine-2,5-dione","DB08761",-7.3
"[N-(BENZYLOXYCARBONYL)AMINO](4-AMIDINOPHENYL)METHANE-PHOSPHONATE","DB08763",-7.3
"2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE","DB08789",-7.3
"Ethyl biscoumacetate","DB08794",-7.3
"Hyaluronic acid","DB08818",-7.3
"Ivacaftor","DB08820",-7.3
"Afatinib","DB08916",-7.3
"Isoxicam","DB08942",-7.3
"Edoxaban","DB09075",-7.3
"Alectinib","DB11363",-7.3
"Sildenafil","DB00203",-7.2
"Torasemide","DB00214",-7.2
"Amsacrine","DB00276",-7.2
"Grepafloxacin","DB00365",-7.2
"Acetohexamide","DB00414",-7.2
"Ceftazidime","DB00438",-7.2
"Lansoprazole","DB00448",-7.2
"Tenoxicam","DB00469",-7.2
"Lenalidomide","DB00480",-7.2
"Trandolapril","DB00519",-7.2
"Amodiaquine","DB00613",-7.2
"Indapamide","DB00808",-7.2
"Tipranavir","DB00932",-7.2
"Cyclacillin","DB01000",-7.2
"Trichlormethiazide","DB01021",-7.2
"Abacavir","DB01048",-7.2
"Benzylpenicillin","DB01053",-7.2
"Iloprost","DB01088",-7.2
"Cefprozil","DB01150",-7.2
"Cilostazol","DB01166",-7.2
"Podofilox","DB01179",-7.2
"Encainide","DB01228",-7.2
"Ceftizoxime","DB01332",-7.2
"Bezafibrate","DB01393",-7.2
"Ceftibuten","DB01415",-7.2
"Thymidine-5'-Phosphate","DB01643",-7.2
"7-Methyl-Gpppa","DB01649",-7.2
"Phosphoribosyl Atp","DB01661",-7.2
"Analogue of Indinavir Drug","DB01721",-7.2
"Methylumbelliferyl Sialic Acid","DB01768",-7.2
"5'-Guanosine-Diphosphate-Monothiophosphate","DB01864",-7.2
"7n-Methyl-8-Hydroguanosine-5'-Diphosphate","DB01960",-7.2
"8-Oxo-2'-Deoxy-Guanosine-5'-Monophosphate","DB02023",-7.2
"Adenosine-5-Diphosphoribose","DB02059",-7.2
"N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide","DB02069",-7.2
"WAY-151693","DB02071",-7.2
"(1s)-1(9-Deazahypoxanthin-9yl)1,4-Dideoxy-1,4-Imino-D-Ribitol-5-Phosphate","DB02075",-7.2
"2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine","DB02104",-7.2
"CRA_9334","DB02288",-7.2
"Cytidine 5'-Diphosphoglycerol","DB02484",-7.2
"4-Hydroxy-3-[(1s)-3-Oxo-1-Phenylbutyl]-2h-Chromen-2-One","DB02507",-7.2
"2-Hydroxy-5-({1-[(4-Methylphenoxy)Methyl]-3-Oxoprop-1-Enyl}Amino)-L-Tyrosine","DB02537",-7.2
"4-Methylumbelliferyl-Alpha-D-Glucose","DB02639",-7.2
"N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid","DB02698",-7.2
"5-Aminocarbonyl-3-Nitrophenyl-Alpha-D-Galactopyranose","DB02802",-7.2
"FR236913","DB02830",-7.2
"Guanosine 5'-Diphosphate 2':3'-Cyclic Monophosphate","DB02836",-7.2
"4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid","DB02840",-7.2
"(1-Tert-Butyl-5-Hydroxy-1h-Pyrazol-4-Yl)-(6-Methanesulfonyl-4'-Methoxy-2-Methyl-Biphenyl-3-Yl)-Methanone","DB02850",-7.2
"CRA_1802","DB02875",-7.2
"5-Beta-D-Ribofuranosylnicotinamide Adenine Dinucleotide","DB03020",-7.2
"Alpha-Ribazole-5'-Phosphate Derivative","DB03079",-7.2
"AL7099A","DB03221",-7.2
"2'-Deoxyadenosine 5'-Triphosphate","DB03222",-7.2
"Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]","DB03262",-7.2
"5'-O-(N-(L-Threonyl)-Sulfamoyl)Adenosine","DB03355",-7.2
"7n-Methyl-8-Hydroguanosine-5'-Triphosphate","DB03358",-7.2
"Sp-876","DB03558",-7.2
"N-Ethyl-5'-Carboxamido Adenosine","DB03719",-7.2
"Adenosine-5'-[Beta, Gamma-Methylene]Tetraphosphate","DB03755",-7.2
"6-Chloropurine Riboside, 5'-Monophosphate","DB03948",-7.2
"(2-Sulfanyl-3-Phenylpropanoyl)-Phe-Tyr","DB03949",-7.2
"Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid","DB03982",-7.2
"(4-{2-Acetylamino-2-[1-(3-Carbamoyl-4-Cyclohexylmethoxy-Phenyl)-Ethylcarbamoyl}-Ethyl}-2-Phosphono-Phenoxy)-Acetic Acid","DB04003",-7.2
"Ergosterol","DB04038",-7.2
"Nitrocefin Acyl-Serine","DB04041",-7.2
"BV1","DB04210",-7.2
"CRA_9076","DB04215",-7.2
"8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine","DB04254",-7.2
"G418","DB04263",-7.2
"Cyclotheonamide A","DB04269",-7.2
"(S)-5-(4-Benzyloxy-Phenyl)-4-(7-Phenyl-Heptanoylamino)-Pentanoic Acid","DB04287",-7.2
"N-Benzoyl-N'-Beta-D-Glucopyranosyl Urea","DB04295",-7.2
"7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid","DB04342",-7.2
"3'-Deoxy 3'-Amino Adenosine-5'-Diphosphate","DB04366",-7.2
"Modified Acarbose Pentasaccharide","DB04439",-7.2
"2'-Deoxyguanosine-5'-Monophosphate","DB04457",-7.2
"WRR-204","DB04502",-7.2
"Inosinic Acid","DB04566",-7.2
"4-[(4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE","DB04601",-7.2
"2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE)","DB04758",-7.2
"Pyrithiamine Pyrophosphate","DB04768",-7.2
"1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE","DB04771",-7.2
"Vildagliptin","DB04876",-7.2
"Vandetanib","DB05294",-7.2
"CEP-1347","DB05403",-7.2
"Sulfaphenazole","DB06729",-7.2
"N-(4-CARBAMIMIDOYL-3-CHORO-PHENYL)-2-HYDROXY-3-IODO-5-METHYL-BENZAMIDE","DB06857",-7.2
"1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE","DB06869",-7.2
"N-{5-[4-(4-METHYLPIPERAZIN-1-YL)PHENYL]-1H-PYRROLO[2,3-B]PYRIDIN-3-YL}NICOTINAMIDE","DB06876",-7.2
"3(S)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID TERT-BUTYL ESTER","DB06887",-7.2
"N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOTHIAZIN-4-YL]ETHYL}ACETAMIDE","DB06899",-7.2
"1-ethyl-N-(phenylmethyl)-4-(tetrahydro-2H-pyran-4-ylamino)-1H-pyrazolo[3,4-b]pyridine-5-carboxamide","DB06909",-7.2
"N-(3-cyclopropyl-1H-pyrazol-5-yl)-2-(2-naphthyl)acetamide","DB06944",-7.2
"2,2'-{[9-(HYDROXYIMINO)-9H-FLUORENE-2,7-DIYL]BIS(OXY)}DIACETIC ACID","DB07034",-7.2
"N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOXAZIN-4-YL]ETHYL}ACETAMIDE","DB07059",-7.2
